REPORT_RECEIVED_DATE,IYEAR,REPORT_TYPE,OPERATOR_ID,NAME,OPERATOR_CITY_NAME,OPERATOR_STATE_ABBREVIATION,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE,INTENTIONAL_RELEASE,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,SHUTDOWN_DATETIME,RESTART_DATETIME,IGNITE_IND,UPSTREAM_ACTION_TAKEN,ON_OFF_SHORE,LOCATION_TYPE,INCIDENT_AREA_TYPE,INCIDENT_AREA_SUBTYPE,DEPTH_OF_COVER,CROSSING,SYSTEM_PART_INVOLVED,ITEM_INVOLVED,PIPE_DIAMETER,PIPE_MANUFACTURER,COATING,COATING_APPLIED_IND,INSTALLATION_YEAR,MANUFACTURED_YEAR,MATERIAL_INVOLVED,RELEASE_TYPE,PUNCTURE_AXIAL,PUNCTURE_CIRCUM,LEAK_TYPE,CLASS_LOCATION_TYPE,COULD_BE_HCA,PIR_RADIUS,HEAT_DAMAGE_IND,EST_COST_OPER_PAID,EST_COST_UNINTENTIONAL_RELEASE,EST_COST_INTENTIONAL_RELEASE,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,GAS_COST_IN_MCF,PRPTY,NUM_PERSONS_HOSP_NOT_OVNGHT,NUM_INJURED_TREATED_BY_EMT,NUM_RESIDENT_BUILDING_AFFCTD,NUM_BUSINESS_BUILDING_AFFCTD,WILDLIFE_IMPACT_IND,ACCIDENT_PSIG,GAS_FLOW_IN_PIPE_IN_MCF,MOP_PSIG,ACCIDENT_PRESSURE,PIPELINE_FUNCTION,ACCIDENT_IDENTIFIER,INVESTIGATION_STATUS,CAUSE,CAUSE_DETAILS,INCIDENT
4/24/2023,2023,ORIGINAL,13750,NORTHERN NATURAL GAS CO,OMAHA,NE,NATURAL GAS,7876,17055,NO,0,NO,0,YES,3/30/2023 15:00,4/5/2023 16:00,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,48,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,30,AO SMITH,COAL TAR,UNKNOWN,1963,1963,CARBON STEEL,LEAK,,,PINHOLE,CLASS 1 LOCATION,NO,690,NO,0,18587,40250,600000,50000,2.36,708837,0,0,0,0,NO,880,583,991,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,AIR PATROL,"YES, SPECIFY INVESTIGATION RESULT(S): (SELECT ALL THAT APPLY)",CORROSION FAILURE,EXTERNAL CORROSION,1
4/12/2023,2023,ORIGINAL,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,TULSA,OK,NATURAL GAS,16200,0,NO,0,NO,0,NO,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,TUBING,,,0,,UNKNOWN,UNKNOWN,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,585,NO,0,28350,0,9000,0,1.75,37350,0,0,0,0,NO,695,164000,800,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,DEFECTIVE OR LOOSE TUBING OR FITTING,1
4/25/2023,2023,ORIGINAL,40139,"VENICE GATHERING SYSTEM, L.L.C.",THE WOODLANDS,TX,NATURAL GAS,2540,3370,NO,0,NO,0,,,,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,60,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,22,UNKNOWN,CONCRETE,NO,1970,1969,CARBON STEEL,LEAK,,,PINHOLE,CLASS 3 LOCATION,NO,25,NO,0,5080,6740,0,200000,2,211820,0,0,0,0,NO,314,0,1182,PRESSURE DID NOT EXCEED MAOP,TYPE C GATHERING,OTHER,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",CORROSION FAILURE,INTERNAL CORROSION,1
4/21/2023,2023,ORIGINAL,31618,ENTERPRISE PRODUCTS OPERATING LLC,HOUSTON,TX,NATURAL GAS,13000,0,NO,0,NO,0,NO,,,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,48,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,8.625,UNKNOWN,COAL TAR,UNKNOWN,UNKNOWN,UNKNOWN,CARBON STEEL,RUPTURE,,,,CLASS 1 LOCATION,NO,149,NO,0,60320,0,100000,500,4.64,160820,0,0,0,0,NO,871,14000,960,PRESSURE DID NOT EXCEED MAOP,TYPE C GATHERING,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","NO, THE FACILITY WAS NOT MONITORED BY A CONTROLLER(S) AT THE TIME OF THE INCIDENT",OTHER INCIDENT CAUSE,UNKNOWN,1
4/17/2023,2023,SUPPLEMENTAL FINAL,22655,"WBI ENERGY TRANSMISSION, INC.",BISMARCK,ND,NATURAL GAS,23105,0,NO,0,NO,0,NO,,,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,VALVE,,,0,,1981,UNKNOWN,CARBON STEEL,OTHER,,,,CLASS 1 LOCATION,NO,246,NO,0,46903,0,956,1700,2.03,49559,0,0,0,0,NO,688,0,720,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","YES, SPECIFY INVESTIGATION RESULT(S): (SELECT ALL THAT APPLY)",EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1
4/14/2023,2023,ORIGINAL,32099,ENERGY TRANSFER COMPANY,HOUSTON,TX,NATURAL GAS,15.12,1.67,NO,0,NO,0,YES,3/15/2023 15:20,,NO,VALVE CLOSURE,ONSHORE,OPERATOR-CONTROLLED PROPERTY,UNDERGROUND,UNDER SOIL,72,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,12,UNKNOWN,EPOXY,YES,2012,2012,CARBON STEEL,LEAK,,,PINHOLE,CLASS 1 LOCATION,NO,157,NO,200000,35,4,150000,68,2.31,350107,0,0,0,0,NO,75,350,1440,PRESSURE DID NOT EXCEED MAOP,TYPE C GATHERING,GROUND PATROL BY OPERATOR OR ITS CONTRACTOR,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",CORROSION FAILURE,INTERNAL CORROSION,1
4/6/2023,2023,ORIGINAL,19235,"TEXAS EASTERN TRANSMISSION, LP (SPECTRA ENERGY PARTNERS, LP)",HOUSTON,TX,NATURAL GAS,4.101,13546.07,NO,0,NO,0,YES,3/9/2023 18:10,3/12/2023 17:20,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,EXPOSED DUE TO EXCAVATION,24,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,30,NATIONAL TUBE WORKS,COAL TAR,UNKNOWN,1955,UNKNOWN,CARBON STEEL,LEAK,,,PINHOLE,CLASS 1 LOCATION,NO,633,NO,0,10,34407,241835,500,2.54,276752,0,0,0,0,NO,836,463330,936,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",CORROSION FAILURE,EXTERNAL CORROSION,1
4/7/2023,2023,ORIGINAL,19570,TRANSCONTINENTAL GAS PIPE LINE COMPANY,TULSA,OK,NATURAL GAS,44,19000,NO,0,NO,0,YES,3/8/2023 13:20,,NO,VALVE CLOSURE,ONSHORE,PIPELINE RIGHT-OF-WAY,UNDERGROUND,UNDER SOIL,44,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",PIPE,30,BETHLEHEM STEEL CORPORATION,ASPHALT,UNKNOWN,1957,1957,CARBON STEEL,LEAK,,,CRACK,CLASS 1 LOCATION,NO,748,NO,10000,112,48450,150000,0,2.55,208562,0,0,0,0,NO,640,400,780,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION SYSTEM,NOTIFICATION FROM PUBLIC,"NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",MATERIAL FAILURE OF PIPE OR WELD,ENVIRONMENTAL CRACKING-RELATED,1
3/30/2023,2023,ORIGINAL FINAL,19235,"TEXAS EASTERN TRANSMISSION, LP (SPECTRA ENERGY PARTNERS, LP)",HOUSTON,TX,NATURAL GAS,4088,0,NO,0,NO,0,YES,3/3/2023 20:34,3/4/2023 12:00,NO,,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,ONSHORE COMPRESSOR STATION EQUIPMENT AND PIPING,COMPRESSOR,,,0,,1966,1966,CARBON STEEL,LEAK,,,CONNECTION FAILURE,CLASS 1 LOCATION,NO,423,NO,0,12305,0,1000,500,3.01,13805,0,0,0,0,NO,2900,60000,3250,PRESSURE DID NOT EXCEED MAOP,TRANSMISSION IN STORAGE FIELD,"SCADA-BASED INFORMATION (SUCH AS ALARM(S), ALERT(S), EVENT(S), AND/OR VOLUME OR PACK CALCULATIONS)","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,1
3/27/2023,2023,ORIGINAL,32099,ENERGY TRANSFER COMPANY,HOUSTON,TX,NATURAL GAS,3690,0,NO,0,NO,0,,,,NO,VALVE CLOSURE,ONSHORE,OPERATOR-CONTROLLED PROPERTY,ABOVEGROUND,TYPICAL ABOVEGROUND FACILITY PIPING OR APPURTENANCE,,NO,"ONSHORE PIPELINE, INCLUDING VALVE SITES",SCRAPER/PIG TRAP,,,0,,2015,UNKNOWN,CARBON STEEL,LEAK,,,OTHER,CLASS 1 LOCATION,NO,353,NO,0,9815,0,109000,1000,2.66,119815,0,0,0,0,NO,1000,61000,1440,PRESSURE DID NOT EXCEED MAOP,TYPE C GATHERING,"LOCAL OPERATING PERSONNEL, INCLUDING CONTRACTORS","NO, THE OPERATOR DID NOT FIND THAT AN INVESTIGATION OF THE CONTROLLER(S) ACTIONS OR CONTROL ROOM ISSUES WAS NECESSARY DUE TO: (PROVIDE AN EXPLANATION FOR WHY THE OPERATOR DID NOT INVESTIGATE)",OTHER INCIDENT CAUSE,UNKNOWN,1
